step,epoch,loss,elapsed_seconds
1,1,1.7534674406051636,6.138658761978149
2,1,1.6196646690368652,15.588630676269531
3,1,1.201647162437439,22.255932092666626
4,1,0.43742090463638306,25.65411353111267
5,1,0.7973304390907288,28.06172513961792
6,1,1.4643783569335938,35.365161180496216
7,1,1.3123455047607422,38.488187074661255
8,1,0.8623689413070679,42.45565843582153
9,1,0.5913302898406982,47.83778929710388
10,1,1.207522988319397,51.36299800872803
11,1,0.5963955521583557,56.460392236709595
12,1,1.0064817667007446,60.08976936340332
13,1,0.884853184223175,65.3970136642456
14,1,1.12607741355896,72.67966723442078
15,1,0.5757343769073486,136.14729046821594
16,1,1.0629308223724365,141.55394768714905
17,1,0.9178162217140198,145.5235550403595
18,1,1.306032419204712,148.24355101585388
19,1,0.8940531611442566,152.11351871490479
20,1,0.9108827114105225,156.31677150726318
21,1,0.7688626050949097,161.03812861442566
22,1,0.6975902318954468,165.37982940673828
23,1,0.7697329521179199,170.05330801010132
24,1,0.6111504435539246,174.26981592178345
25,1,0.6082357168197632,179.5874309539795
26,1,0.8240784406661987,185.33628344535828
27,1,0.8376750946044922,192.73445534706116
28,1,0.6264867186546326,195.15412282943726
29,1,0.7776103019714355,198.25020599365234
30,1,0.36559826135635376,207.4235155582428
31,1,0.6443130970001221,213.68081784248352
32,1,0.5541951656341553,222.36660170555115
33,1,0.681891918182373,238.21398782730103
34,1,0.7977351546287537,239.55565786361694
35,1,1.0221740007400513,243.97679567337036
36,1,0.5268519520759583,260.0452311038971
37,1,0.5070391893386841,263.18002700805664
38,1,1.1567350625991821,293.21031618118286
39,1,0.5557138919830322,297.2208216190338
40,1,0.6137152910232544,303.44949650764465
41,1,0.8565763235092163,308.0779802799225
42,1,0.7890381813049316,311.33039236068726
43,1,0.5919687747955322,316.6520540714264
44,1,0.47634264826774597,323.5091087818146
45,1,0.5071632862091064,330.0519576072693
46,1,0.6159070134162903,338.6497857570648
47,1,0.6329822540283203,342.0602831840515
48,1,0.5760762095451355,345.5856194496155
49,1,0.989315390586853,349.23431730270386
50,1,0.7795528173446655,354.55262303352356
51,1,0.8303598761558533,362.7222673892975
52,1,0.4558755159378052,414.4031524658203
53,1,0.45668214559555054,417.74902272224426
54,1,0.7213661670684814,427.46783423423767
55,1,0.41495567560195923,432.1145656108856
56,1,0.6576794981956482,447.9227328300476
57,1,0.5900952816009521,450.79677057266235
58,1,0.4010845422744751,457.4622688293457
59,1,0.7166188359260559,461.3390851020813
60,1,0.6886110901832581,465.75443410873413
61,1,0.9185865521430969,474.32748889923096
62,1,0.514958381652832,484.4037456512451
63,1,0.8162522315979004,492.77345538139343
64,1,0.7697384357452393,495.87578225135803
65,1,0.6438517570495605,499.12569308280945
66,1,0.42975378036499023,504.15778708457947
67,1,0.6046699285507202,510.98300790786743
68,1,0.5412276983261108,518.766845703125
69,1,0.6664865016937256,524.227596282959
70,1,0.5078392028808594,529.6322870254517
71,1,0.8416958451271057,532.8845844268799
72,1,0.7659813165664673,537.094185590744
73,1,0.9481909275054932,560.3407850265503
74,1,0.5166817903518677,563.6931428909302
75,1,0.4349200129508972,568.806431055069
76,1,0.5940417051315308,574.2101635932922
77,1,0.7773236036300659,576.8954803943634
78,1,0.7455966472625732,579.9806201457977
79,1,0.8146677017211914,584.3316757678986
80,1,0.6418453454971313,588.8950152397156
81,1,0.6972590684890747,591.9940552711487
82,1,0.4189611077308655,595.2149085998535
83,1,0.6720349788665771,605.4812543392181
84,1,0.7073931097984314,609.8818671703339
85,1,0.5058346390724182,611.8852739334106
86,1,0.8882901668548584,615.4105761051178
87,1,0.7561101913452148,619.1723091602325
88,1,0.6074248552322388,629.90673995018
89,1,0.6928689479827881,632.5264728069305
90,1,0.6783329844474792,641.2603588104248
91,1,0.6666371822357178,644.0215952396393
92,1,0.7760788202285767,652.6906418800354
93,1,0.2706272602081299,660.9137828350067
94,1,0.6598925590515137,665.7815351486206
95,1,0.5130724906921387,677.1463928222656
96,1,0.3988954722881317,684.314649105072
97,1,0.6161413192749023,748.1096918582916
98,1,0.4524339437484741,752.5113079547882
99,1,0.6571820974349976,760.8939831256866
100,1,0.7230864763259888,764.7872309684753
101,1,0.8526372909545898,769.4871525764465
102,1,0.300904780626297,774.1115498542786
103,1,0.3728082776069641,776.0983097553253
104,1,0.6215447187423706,783.5741398334503
105,1,0.4568244218826294,790.5160830020905
106,1,0.43955129384994507,792.5238146781921
107,1,0.8667129278182983,795.333327293396
108,1,0.4896588623523712,801.9990229606628
109,1,0.6406539082527161,808.9899082183838
