global_optimizer_step,epoch,train_loss,causal_moving_average_50
1,1,1.2916364669799805,1.2916364669799805
2,1,2.1766533851623535,1.734144926071167
3,1,2.153660297393799,1.873983383178711
4,1,1.97568678855896,1.8994092345237732
5,1,1.7603543996810913,1.8715982675552367
6,1,3.2837631702423096,2.106959084669749
7,1,2.40697979927063,2.149819186755589
8,1,1.709075689315796,2.094726249575615
9,1,2.4190456867218018,2.130761742591858
10,1,2.2631313800811768,2.1439987063407897
11,1,1.3025999069213867,2.0675079063935713
12,1,1.5755689144134521,2.026512990395228
13,1,1.3995006084442139,1.9782812687066884
14,1,1.4503898620605469,1.9405747396605355
15,1,1.443159580230713,1.9074137290318807
16,1,1.9349381923675537,1.9091340079903603
17,1,1.6132128238677979,1.8917268795125626
18,1,0.7850341796875,1.8302439517445035
19,1,1.0463472604751587,1.78898623115138
20,1,1.7074449062347412,1.7849091649055482
21,1,1.6749210357666016,1.7796716349465507
22,1,1.4009284973144531,1.7624560377814553
23,1,1.387917399406433,1.7461717491564543
24,1,1.3059601783752441,1.727829600373904
25,1,1.43914794921875,1.7162823343276978
26,1,1.2484443187713623,1.6982885644986079
27,1,1.4601924419403076,1.6894701895890412
28,1,1.8095755577087402,1.6937596670218877
29,1,1.7397093772888184,1.6953441397897129
30,1,1.5241520404815674,1.6896377364794413
31,1,2.315032482147217,1.7098117605332406
32,1,1.4692188501358032,1.7022932320833206
33,1,1.268490195274353,1.6891476855133518
34,1,2.1599979400634766,1.702996222411885
35,1,1.342403769493103,1.6926935808999197
36,1,1.0360904932022095,1.67445460624165
37,1,2.3509466648101807,1.6927381753921509
38,1,1.0640944242477417,1.6761949187830876
39,1,1.5662676095962524,1.6733762698295789
40,1,1.6660598516464233,1.673193359375
41,1,1.4131532907485962,1.666850918676795
42,1,1.2216408252716064,1.6562506783576239
43,1,1.7433853149414062,1.6582770652549212
44,1,1.0247799158096313,1.643879402767528
45,1,1.6069122552871704,1.643057910601298
46,1,0.9858378171920776,1.628770517266315
47,1,1.293391227722168,1.6216347877015458
48,1,1.3928771018981934,1.6168690025806427
49,1,2.13509464263916,1.6274450360512247
50,1,1.918820858001709,1.6332725524902343
51,1,0.8668578863143921,1.6247769808769226
52,1,1.211948037147522,1.605482873916626
53,1,1.3868272304534912,1.5901462125778199
54,1,1.087408423423767,1.572380645275116
55,1,1.8448388576507568,1.5740703344345093
56,1,1.4669115543365479,1.5377333021163941
57,1,2.065920352935791,1.5309121131896972
58,1,1.469979166984558,1.5261301827430724
59,1,1.7412612438201904,1.5125744938850403
60,1,0.7456341981887817,1.4822245502471925
61,1,1.1282293796539307,1.4787371397018432
62,1,0.9901303052902222,1.4670283675193787
63,1,1.0455379486083984,1.4599491143226624
64,1,0.7590514421463013,1.4461223459243775
65,1,1.1363391876220703,1.4399859380722047
66,1,1.5754222869873047,1.4327956199645997
67,1,1.1998646259307861,1.4245286560058594
68,1,1.3122437000274658,1.4350728464126588
69,1,1.2549562454223633,1.4392450261116028
70,1,1.5465283393859863,1.4360266947746276
71,1,1.3367207050323486,1.4292626881599426
72,1,1.3850605487823486,1.4289453291893006
73,1,1.169074296951294,1.4245684671401977
74,1,1.2886730432510376,1.4242227244377137
75,1,1.7993398904800415,1.4314265632629395
76,1,0.9788486361503601,1.4260346496105194
77,1,1.6980953216552734,1.4307927072048188
78,1,0.67146897315979,1.4080305755138398
79,1,1.1512326002120972,1.3962610399723052
80,1,1.9741395711898804,1.4052607905864716
81,1,1.1661224365234375,1.3822825896739959
82,1,1.820854663848877,1.3893153059482575
83,1,1.2965896129608154,1.3898772943019866
84,1,0.8735778331756592,1.3641488921642304
85,1,0.7262937426567078,1.3518266916275024
86,1,1.343571424484253,1.3579763102531432
87,1,1.3673081398010254,1.3383035397529601
88,1,0.7555291056632996,1.3321322333812713
89,1,1.1626566648483276,1.3240600144863128
90,1,0.8136296272277832,1.30701140999794
91,1,1.0731451511383057,1.3002112472057343
92,1,1.5089597702026367,1.3059576261043548
93,1,1.1538245677947998,1.2941664111614228
94,1,1.2042611837387085,1.2977560365200043
95,1,1.3467111587524414,1.2925520145893097
96,1,1.5973520278930664,1.3047822988033295
97,1,1.3500620126724243,1.3059157145023346
98,1,1.01863694190979,1.2984309113025665
99,1,1.0498830080032349,1.2767266786098481
100,1,1.3557566404342651,1.2654653942584992
101,1,1.1456596851348877,1.2710414302349091
102,1,1.4790678024291992,1.2763838255405426
103,1,0.729250431060791,1.2632322895526886
104,1,0.9058219194412231,1.2596005594730377
105,1,0.7870572805404663,1.2384449279308318
106,1,1.2649316787719727,1.2344053304195404
107,1,0.8209840059280396,1.2095066034793853
108,1,0.8831323385238647,1.1977696669101716
109,1,0.9804113507270813,1.1825526690483092
110,1,0.7801991701126099,1.183243968486786
111,1,1.4895625114440918,1.1904706311225892
112,1,0.8795434832572937,1.1882588946819306
113,1,1.12082040309906,1.1897645437717437
114,1,1.4568893909454346,1.2037213027477265
115,1,0.9964537024497986,1.200923593044281
