global_step,epoch,train_loss,cumulative_elapsed_seconds
1,1,1.2948079109191895,4.517234563827515
2,1,1.7933290004730225,5.995647192001343
3,1,0.8713798522949219,8.149519920349121
4,1,0.9276250600814819,10.809179782867432
5,1,1.0127195119857788,12.623872756958008
6,1,1.4534845352172852,14.833956718444824
7,1,1.1768770217895508,16.898861169815063
8,1,0.9457842707633972,19.56014633178711
9,1,0.5300456881523132,21.082782983779907
10,1,0.7254621386528015,47.80507206916809
11,1,0.6303678750991821,49.42834758758545
12,1,0.7863032817840576,51.42977237701416
13,1,0.5104814767837524,53.59517860412598
14,1,0.8501375317573547,55.04907298088074
15,1,0.9194139242172241,58.10764193534851
16,1,0.8764638900756836,59.555030822753906
17,1,1.1784348487854004,74.3664710521698
18,1,0.8289164304733276,75.7472996711731
19,1,0.7907962799072266,79.31852221488953
20,1,0.8255114555358887,80.90919423103333
21,1,0.5911840200424194,83.0514783859253
22,1,0.8471798896789551,84.84080982208252
23,1,0.5753132104873657,87.16873788833618
24,1,0.8257859349250793,88.9469268321991
25,1,1.1737122535705566,90.92644190788269
26,1,0.9794789552688599,93.75970196723938
27,1,0.7838758826255798,96.49093651771545
28,1,0.8041605949401855,97.80639266967773
29,1,0.9387417435646057,99.4788088798523
30,1,0.6548997163772583,130.99438214302063
31,1,1.4965627193450928,141.21668028831482
32,1,0.7325339317321777,143.37462520599365
33,1,0.8042698502540588,144.63026595115662
34,1,1.2365508079528809,146.0730700492859
35,1,0.6955393552780151,148.75634455680847
36,1,0.5768755674362183,150.41668224334717
37,1,1.3585426807403564,175.57100701332092
38,1,0.5251337289810181,178.44536924362183
39,1,0.8521016240119934,181.98002076148987
40,1,0.6248795986175537,185.82792043685913
41,1,1.1336874961853027,187.77476930618286
42,1,0.4930988550186157,189.77844047546387
43,1,0.8480254411697388,191.50735187530518
44,1,0.4410105347633362,193.81906604766846
45,1,0.7644367218017578,195.91771388053894
46,1,0.7804996967315674,197.59213638305664
47,1,0.6812049150466919,199.37387800216675
48,1,0.7790878415107727,200.9001932144165
49,1,1.0218733549118042,203.29066634178162
50,1,1.0851268768310547,204.6761634349823
51,1,0.5251035690307617,206.6103720664978
52,1,0.5454749464988708,213.18124198913574
53,1,0.9427095651626587,214.88537859916687
54,1,0.6516895890235901,216.89605569839478
55,1,0.9545520544052124,219.30948615074158
56,1,0.8557946085929871,220.60452485084534
57,1,1.087109088897705,222.55222249031067
58,1,0.9251267313957214,225.9097936153412
59,1,0.8137762546539307,227.368310213089
60,1,0.5317347049713135,228.59932041168213
61,1,0.7278238534927368,230.0712025165558
62,1,0.4079344868659973,231.8853976726532
63,1,0.5177016258239746,234.01497650146484
64,1,0.3789079487323761,235.4198122024536
65,1,0.6636061072349548,236.6985058784485
66,1,0.9169172048568726,239.71889996528625
67,1,0.6327251195907593,242.7484359741211
68,1,0.6654408574104309,249.22257089614868
69,1,0.7499349117279053,250.68112683296204
70,1,0.8403997421264648,254.3074381351471
71,1,0.7294853925704956,256.7860391139984
72,1,0.9155411124229431,258.4898085594177
73,1,0.7399619817733765,260.4911377429962
74,1,0.809308648109436,261.966858625412
75,1,1.1408576965332031,264.38973093032837
76,1,0.6019439697265625,265.7802748680115
77,1,1.0975487232208252,267.5891673564911
78,1,0.41902101039886475,270.43364548683167
79,1,0.8756318688392639,272.856027841568
80,1,0.9680661559104919,274.9445674419403
81,1,0.79524827003479,279.6936864852905
82,1,0.8046985268592834,281.29140424728394
83,1,0.5951523780822754,284.04653811454773
84,1,0.44980454444885254,286.43176794052124
85,1,0.33034053444862366,288.76613450050354
86,1,0.7476798295974731,296.4723038673401
87,1,0.693500280380249,302.738792181015
88,1,0.35592037439346313,304.958158493042
89,1,0.6350597143173218,307.5245499610901
90,1,0.5079072117805481,308.8457429409027
91,1,0.630061149597168,310.49825263023376
92,1,1.0273064374923706,313.4824764728546
93,1,0.5925247669219971,314.96130180358887
94,1,0.5576346516609192,317.1802306175232
95,1,0.9201326370239258,318.990113735199
96,1,0.8143864870071411,321.2042648792267
97,1,0.752528190612793,323.5071475505829
98,1,0.5239371061325073,326.1042969226837
99,1,0.5610939264297485,327.8148138523102
100,1,0.680750846862793,331.4291367530823
101,1,0.5809584856033325,333.24281072616577
102,1,1.0435326099395752,336.2732238769531
103,1,0.46910834312438965,337.7312889099121
104,1,0.5235305428504944,339.70974135398865
105,1,0.5422425270080566,341.7788619995117
106,1,0.7875760793685913,343.2778494358063
107,1,0.39565610885620117,345.6624963283539
108,1,0.7365975379943848,347.0518479347229
109,1,0.6198533773422241,348.75914692878723
110,1,0.4942578077316284,350.463849067688
111,1,0.9141820669174194,354.03626561164856
112,1,0.5879002809524536,355.6901845932007
113,1,0.805698812007904,361.52023100852966
114,1,0.812466025352478,363.99947237968445
115,1,0.6266790628433228,365.65174317359924
116,1,0.5191280841827393,367.581152677536
117,1,0.7171792984008789,369.3653597831726
118,1,0.6741012334823608,371.6768789291382
119,1,0.6442250609397888,374.99456453323364
120,1,0.7143667936325073,376.9288544654846
121,1,0.2963629961013794,379.0214068889618
122,1,0.5876697897911072,381.41927123069763
123,1,0.3058210015296936,383.629230260849
124,1,0.6146339178085327,385.1029658317566
125,1,0.6039178371429443,387.7623462677002
126,1,0.5839887261390686,389.16545510292053
127,1,0.6483631730079651,404.9568364620209
128,1,0.48733285069465637,407.53378105163574
129,1,0.3952884078025818,409.53963255882263
130,1,0.46813756227493286,410.92377161979675
131,1,0.7450199723243713,415.63435196876526
132,1,1.0239861011505127,417.0570123195648
133,1,0.6555359363555908,418.8604784011841
134,1,0.7091660499572754,426.2592098712921
135,1,0.6583828926086426,428.97692036628723
136,1,0.4686885476112366,430.5756504535675
137,1,0.5664163827896118,432.5307424068451
